# Format: cml_metadata.csv
Link,Direction,Sublink,NearLatitude_DecDeg,NearLongitude_DecDeg,FarLatitude_DecDeg,FarLongitude_DecDeg,Frequency_GHz,Polarization,Length_km,NearAntennaDiameter_m,FarAntennaDiameter_m
10227,A,115,57.70528,11.75517,57.71251,11.78202,28.2345,Vertical,1.79158,0.3,0.3
10227,B,118,57.71251,11.78202,57.70528,11.75517,29.2425,Vertical,1.79158,0.3,0.3
10230,A,397,57.74197,11.7907,57.71251,11.78202,32.333,Vertical,3.3204,0.3,0.3
10230,B,400,57.71251,11.78202,57.74197,11.7907,33.145,Vertical,3.3204,0.3,0.3
10330,A,479,57.62696,11.93514,57.6326,11.94944,29.1865,Vertical,1.06017,0.3,0.3
10330,B,480,57.6326,11.94944,57.62696,11.93514,28.1785,Vertical,1.06017,0.3,0.3
10331,A,249,57.6326,11.94944,57.65076,11.91455,28.2625,Vertical,2.90312,0.3,0.3
10331,B,250,57.65076,11.91455,57.6326,11.94944,29.2705,Vertical,2.90312,0.3,0.3
10354,A,718,57.7057,11.99134,57.70923,12.00797,37.324,Vertical,1.06601,0.3,0.3
10354,B,717,57.70923,12.00797,57.7057,11.99134,38.584,Vertical,1.06601,0.3,0.3
10355,A,716,57.71543,11.99411,57.70923,12.00797,37.24,Vertical,1.07598,0.3,0.3
10355,B,715,57.70923,12.00797,57.71543,11.99411,38.5,Vertical,1.07598,0.3,0.3
10356,A,722,57.70144,12.03743,57.70375,12.01851,33.257,Vertical,1.15659,0.3,0.3
10356,B,721,57.70375,12.01851,57.70144,12.03743,32.445,Vertical,1.15659,0.3,0.3
10360,A,724,57.70588,11.94409,57.72355,11.8898,32.333,Vertical,3.78685,0.3,0.3
10360,B,723,57.72355,11.8898,57.70588,11.94409,33.145,Vertical,3.78685,0.3,0.3
10364,A,702,57.70923,12.00797,57.71181,11.98477,28.2485,Vertical,1.41213,0.3,0.3
10364,B,701,57.71181,11.98477,57.70923,12.00797,29.2565,Vertical,1.41213,0.3,0.3

# Format: CityGauges-metadata.csv
Name,Location,Longitude_DecDeg,Latitude_DecDeg,Type,Unit,Resolution (mm)
Jarn,Järnbrottsmotet,11.943145,57.646067,Weighing,millimetre,0.1
Torp,Torpagatan,12.035572,57.718613,Weighing,millimetre,0.1
Bergsj,Bergsjön,12.073303,57.751128,Weighing,millimetre,0.1
Torsl,Torslanda flygpl,11.785332,57.712069,Weighing,millimetre,0.1
Chalm,Chalmers,11.98083,57.683236,Weighing,millimetre,0.1
Tole,Tolered,11.911754,57.731041,Weighing,millimetre,0.1
Barl,Barlastplatsen,11.937618,57.700099,Weighing,millimetre,0.1
Drakeg,Drakegatan,11.993077,57.706026,Tipping-bucket,millimetre,0.2
Lbom,Lilla Bommen,11.967087,57.714739,Tipping-bucket,millimetre,0.2
Askim,Askim Ögärdesv,11.943581,57.632511,Tipping-bucket,millimetre,0.2

# Format: SMHI station metadata
Station information
Station name,Göteborg A
Station ID (klimatnummer),71420
Station height above sea level (m),3.038
Latitude (decimal degrees),57.7156
Longitude (decimal degrees),11.9924
Link,https://www.smhi.se/data/meteorologi/ladda-ner-meteorologiska-observationer#stationid=71420
